250 FFP linear_case well-constrained agree_well | 32.745614 0.822679 0.383270 0.016761 1.000000 0.416994 | 0.001163 0.010765 0.007802 0.000128 0.011540 | 32.745715 0.001206 0.001183 0.792980 0.018418 0.017888 0.406446 0.014710 0.014470 0.999747 0.000122 0.000134 0.447895 0.022921 0.021646 
252 FFP linear_case well-constrained agree_well | 53.630271 0.428653 -0.476585 0.032510 1.000000 0.776158 | 0.000317 0.001904 0.003324 0.000056 0.007944 | 53.629310 0.000321 0.000316 0.436920 0.004360 0.004493 0.466561 0.007846 0.007533 0.999889 0.000055 0.000057 0.747593 0.018586 0.017259 
277 FFP linear_case well-constrained agree_well | 58.319433 9.723919 -0.908494 0.014018 1.000000 0.785401 | 0.004519 0.016568 0.002119 0.000082 0.003617 | 58.313135 0.004495 0.004544 9.621342 0.111732 0.113240 0.923148 0.016811 0.016049 1.000130 0.000099 0.000100 0.805328 0.029623 0.027374 
285 FFP linear_case well-constrained agree_well | 17.951401 0.373735 0.638298 0.086696 1.000000 0.556909 | 0.000844 0.004115 0.010808 0.000074 0.015736 | 17.951579 0.000883 0.000826 0.390978 0.012307 0.012096 0.586517 0.030676 0.029181 0.999949 0.000075 0.000076 0.485594 0.041536 0.037890 
297 FFP linear_case well-constrained agree_well | 44.655245 0.425351 0.464019 0.085505 1.000000 0.750326 | 0.000321 0.002031 0.003458 0.000058 0.008170 | 44.654951 0.000317 0.000320 0.437808 0.004583 0.004612 0.438197 0.007484 0.007395 0.999960 0.000056 0.000058 0.693642 0.017031 0.016478 
300 FFP linear_case well-constrained agree_well | 26.491700 0.478469 -0.053851 0.052606 1.000000 0.026088 | 0.000143 0.008883 0.000618 0.000038 0.000543 | 26.492503 0.000146 0.000142 0.499521 0.015618 0.015336 0.039908 0.001528 0.001450 1.000010 0.000037 0.000038 0.023508 0.000881 0.000861 
303 FFP linear_case well-constrained agree_well | 58.798748 36.253330 0.015738 0.005655 1.000000 0.036399 | 0.000229 0.044458 0.000020 0.000045 0.000046 | 58.799010 0.000230 0.000228 36.375087 0.197795 0.188344 0.015458 0.000084 0.000089 1.000001 0.000097 0.000094 0.036058 0.000194 0.000202 
314 FFP linear_case well-constrained agree_well | 65.459412 0.581595 -0.987429 0.142893 1.000000 0.514950 | 0.001861 0.005731 0.013984 0.000050 0.015073 | 65.460804 0.001848 0.001878 0.583160 0.032084 0.035405 0.980784 0.100969 0.079233 0.999950 0.000049 0.000050 0.511704 0.116785 0.079594 
325 FFP linear_case well-constrained agree_well | 21.415288 0.143349 -0.070715 0.066918 1.000000 0.277781 | 0.000078 0.003245 0.001281 0.000171 0.007933 | 21.415276 0.000076 0.000072 0.143273 0.004240 0.004209 0.057788 0.002297 0.002233 1.000098 0.000171 0.000171 0.273078 0.010713 0.010412 
328 FFP linear_case well-constrained agree_well | 34.789403 9.863118 0.644550 0.005351 1.000000 0.369072 | 0.004816 0.024648 0.002241 0.000093 0.002135 | 34.793821 0.004877 0.004841 10.061523 0.110283 0.109316 0.625458 0.010308 0.010109 0.999729 0.000124 0.000130 0.350017 0.009521 0.009131 
334 FFP linear_case well-constrained agree_well | 67.917563 2.492536 0.336167 0.018639 1.000000 0.785622 | 0.000313 0.002395 0.000502 0.000040 0.001515 | 67.917749 0.000302 0.000326 2.500643 0.004748 0.004774 0.335753 0.001038 0.001044 0.999959 0.000041 0.000040 0.775564 0.003075 0.003034 
359 FFP linear_case well-constrained agree_well | 28.078719 0.680306 0.351474 0.019469 1.000000 0.543026 | 0.000487 0.004235 0.003401 0.000082 0.006930 | 28.077880 0.000489 0.000498 0.676839 0.007173 0.007316 0.355498 0.006016 0.006037 0.999798 0.000083 0.000085 0.545685 0.012420 0.012052 
370 FFP linear_case well-constrained agree_well | 63.087476 1.492532 -0.835739 0.494266 1.000000 0.630410 | 0.002272 0.009924 0.007621 0.000079 0.011741 | 63.086478 0.002256 0.002328 1.506073 0.035336 0.036310 0.783196 0.030690 0.028573 0.999959 0.000081 0.000082 0.630702 0.046277 0.040913 
374 FFP linear_case well-constrained agree_well | 32.970354 0.169596 0.747236 0.130013 1.000000 0.701970 | 0.000285 0.001054 0.007005 0.000033 0.011836 | 32.971150 0.000282 0.000286 0.168966 0.004119 0.004700 0.754295 0.034469 0.028682 0.999961 0.000033 0.000032 0.715664 0.060671 0.047921 
417 FFP linear_case well-constrained agree_well | 27.795254 0.222566 -0.335674 0.249423 1.000000 0.116458 | 0.000372 0.003180 0.005731 0.000034 0.003073 | 27.796071 0.000380 0.000373 0.210658 0.006404 0.006302 0.348078 0.016881 0.016086 0.999999 0.000033 0.000035 0.134441 0.008667 0.008061 
418 FFP linear_case well-constrained agree_well | 55.663454 0.033047 1.136824 1.156317 1.000000 0.343062 | 0.000241 0.001145 0.021932 0.000028 0.027818 | 55.663256 0.000225 0.000240 0.038673 0.003338 0.003309 0.608905 0.096932 0.076949 0.999955 0.000028 0.000029 0.215992 0.060678 0.041462 
425 FFP linear_case well-constrained agree_well | 32.083120 2.411704 0.232304 0.030136 1.000000 0.759246 | 0.000174 0.001697 0.000251 0.000034 0.000954 | 32.082934 0.000176 0.000176 2.420286 0.002867 0.002828 0.231494 0.000431 0.000435 0.999990 0.000035 0.000033 0.748764 0.001600 0.001620 
440 FFP linear_case well-constrained agree_well | 53.206456 3.540168 0.736946 0.020057 1.000000 0.081292 | 0.023484 0.136065 0.043136 0.000092 0.008464 | 53.217455 0.025439 0.023661 3.315644 0.392084 0.401281 0.843295 0.187925 0.137316 0.999849 0.000099 0.000095 0.101000 0.049773 0.027848 
462 FFP linear_case well-constrained agree_well | 60.819913 2.268674 0.319186 0.009901 1.000000 0.161226 | 0.002302 0.024706 0.005223 0.000090 0.003394 | 60.819676 0.002375 0.002316 2.303401 0.042686 0.041869 0.312811 0.009047 0.008599 1.000050 0.000094 0.000087 0.154914 0.005731 0.005455 
465 FFP linear_case well-constrained agree_well | 73.717541 0.490872 -0.091061 0.084965 1.000000 0.580280 | 0.000052 0.001337 0.000227 0.000066 0.002172 | 73.719039 0.000053 0.000051 0.527217 0.001965 0.002001 0.068081 0.000372 0.000352 0.999946 0.000066 0.000062 0.507372 0.002653 0.002610 
469 FFP linear_case well-constrained agree_well | 52.598230 4.266934 -0.236626 0.007668 1.000000 0.737627 | 0.000371 0.003963 0.000331 0.000059 0.001203 | 52.598581 0.000375 0.000386 4.279180 0.006706 0.006729 0.236350 0.000559 0.000585 0.999939 0.000063 0.000063 0.730937 0.002022 0.002067 
481 FFP linear_case well-constrained agree_well | 44.722205 4.050584 0.634064 0.030294 1.000000 0.499707 | 0.004470 0.027608 0.006614 0.000130 0.008631 | 44.721776 0.004348 0.004472 3.966512 0.078723 0.074858 0.654053 0.019740 0.019988 1.000095 0.000146 0.000139 0.522742 0.027113 0.026378 
494 FFP linear_case well-constrained agree_well | 30.425012 0.815445 0.022104 0.013926 1.000000 0.066556 | 0.000042 0.006008 0.000173 0.000043 0.000564 | 30.424409 0.000040 0.000041 0.867894 0.007994 0.008279 0.018522 0.000207 0.000203 0.999969 0.000044 0.000043 0.059652 0.000647 0.000630 
500 FFP linear_case well-constrained agree_well | 70.922842 2.134383 -0.257055 0.010211 1.000000 0.270341 | 0.000905 0.010815 0.001937 0.000078 0.002467 | 70.923148 0.000911 0.000909 2.134631 0.018070 0.017299 0.257587 0.003176 0.003230 0.999948 0.000081 0.000077 0.267849 0.004011 0.004038 
510 FFP linear_case well-constrained agree_well | 45.461703 0.815477 -0.787355 0.038937 1.000000 0.409045 | 0.002466 0.010964 0.016128 0.000074 0.015395 | 45.461108 0.002435 0.002436 0.770083 0.042872 0.041880 0.871610 0.077580 0.073543 0.999970 0.000072 0.000073 0.491265 0.090778 0.075093 
512 FFP linear_case well-constrained agree_well | 71.547485 0.636340 0.759173 0.047404 1.000000 0.742855 | 0.001024 0.004369 0.007966 0.000064 0.014064 | 71.548122 0.001060 0.001056 0.645397 0.014649 0.016646 0.745263 0.031886 0.026821 0.999868 0.000063 0.000065 0.715737 0.056522 0.044931 
514 FFP linear_case well-constrained agree_well | 62.737536 1.075898 0.548771 0.020068 1.000000 0.239918 | 0.002255 0.014747 0.011702 0.000072 0.007973 | 62.740407 0.002317 0.002150 1.059126 0.035221 0.035883 0.562370 0.031747 0.029289 1.000043 0.000074 0.000072 0.245849 0.022460 0.019470 
515 FFP linear_case well-constrained agree_well | 64.062002 0.224408 -0.822544 0.057450 1.000000 0.729151 | 0.000581 0.002166 0.011917 0.000050 0.019839 | 64.062714 0.000553 0.000579 0.236171 0.008772 0.009129 0.751323 0.048584 0.043096 1.000021 0.000050 0.000051 0.618870 0.074603 0.061427 
522 FFP linear_case well-constrained agree_well | 36.578029 0.415467 -0.067508 0.053145 1.000000 0.251260 | 0.000058 0.002113 0.000364 0.000058 0.001675 | 36.577704 0.000058 0.000057 0.401256 0.002712 0.002734 0.061391 0.000571 0.000572 1.000079 0.000056 0.000059 0.254206 0.002286 0.002308 
525 FFP linear_case well-constrained agree_well | 33.644873 0.936407 0.047812 0.043142 1.000000 0.094710 | 0.000114 0.007521 0.000325 0.000066 0.000912 | 33.643974 0.000112 0.000115 1.002876 0.011475 0.011347 0.036925 0.000527 0.000525 0.999910 0.000067 0.000069 0.084680 0.001178 0.001178 
527 FFP linear_case well-constrained agree_well | 9.039952 0.118020 0.469953 0.399457 1.000000 0.299581 | 0.000403 0.002919 0.012580 0.000077 0.015084 | 9.039969 0.000402 0.000407 0.115179 0.006411 0.006248 0.416384 0.038921 0.034875 1.000022 0.000076 0.000078 0.307848 0.041661 0.034771 
546 FFP linear_case well-constrained agree_well | 30.260061 1.938083 -0.998438 0.020871 1.000000 0.685369 | 0.001879 0.005257 0.003801 0.000037 0.005404 | 30.259234 0.001839 0.001925 1.958905 0.035797 0.037967 0.980363 0.029790 0.027509 1.000011 0.000039 0.000040 0.659567 0.042096 0.037096 
